NSN,Nomenclature
1025992979085,"Buffer, Assembly, Special"
1220016473873,Digital Fire Control System Assembly
1240015158265,"Mount, Telescope"
1240015541735,Thermal Elbow Assembly TSS
1290015100540,"Transit, Aming Circle"
1440014583366,"Armament, Control"
2805015556505,"Engine, Outboard Multi Fuel"
2815015502608,"Engine, Diesel"
2815015502615,"Engine, Diesel"
2815015891633,"Engine, Diesel"
3040994887463,"Accumulator, Hydraulic"
4520016313780,"Heater, Water, Liquid"
4910015991753,Test Adapter Vehicle
4920001616963,Boresight Equipment
4920011063361,"Fixture, Aircraft Maintenance"
4933001441857,"Fixture, Checking, Guide Bar Housing"
5820015709746,"Vehicular, Adaptor Unit"
5820200058054,"Receiver-Transmitter, Radio"
5895015525616,"Console, Communications"
5895016647511,"Enclosure Assembly, Radio"
5980016296933,"Control-Display, Opt"
5985015821343,Antenna
5996015848748,"Amplifier, Radio"
5996016429980,"Amplifier, Radio frequency"
5996016616649,"Amplifier, Radio Frequency"
5998011418146,Circuit Card Assembly
5998011423769,Electronic Component
5998998407932,"ELEC, COMPONENT"
6130015447811,"Power Supply, ComTech"
6625014217497,"Plug-In Unit, Electr"
6625014778172,"Generator, Function, Electronic :33250A"
6625014925302,"Plug-In Unit, Electric"
6625014925557,"Plug-In Unit, Electronic Test Equip"
6625014925646,"Plug-In Unit, Electrical-Electronic"
6625014962745,Multiproduct Calibrator
6625015623698,"Calibrator, Range Indicator"
6625015658920,Oscilloscope
6625016533190,"Calibrator, Frequency"
6660015066613,"Theodolite, Meteorological"
6675002932930,Clinometers
7025016473875,"Display Unit, Chief of Section"
8120015271059,"Cylinder, Compressed Gas"
