Master Work Schedule Log  (UNCLASSIFIED),,,,,,,,,,,,,,,,,,,,,,
(Mon Mar 18 09:02:23 EDT 2024),,,,,,,,,,,,,,,,,,,,,,
for Workload Year 2024,,,,,,,,,,,,,,,,,,,,,,
for SAC 2,,,,,,,,,,,,,,,,,,,,,,
for Status 3,,,,,,,,,,,,,,,,,,,,,,
MWSLIN,SOR,NSN,TAMCN,NOMENCLATURE,Prior,Current,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan
,,,,,502,798,40,37,21,57,16,64,63,102,79,77,76,66,25,25,25,25
C768,PPA,1240015541735,E0846,Thermal Elbow Assembly TSS,84,12,,,,12,,,,,,,,,,,,
D009,PPB,5895015525616,A0123,"Console, Communications",8,15,12,3,,,,,,,,,,,,,,
D046,PPA,5820200058054,A0153,"Receiver-Transmitter, Radio",192,,,,,,,,,,,,,,,,,
D052,PPA,5998011423769,A2179,Electronic Component,12,,,,,,,,,,,,,,,,,
D081,PPA,6625014778172,A7420,"Generator, Function, Electronic :33250A",6,,,,,,,,,,,,,,,,,
D084,PPA,6625015623698,A7420,"Calibrator, Range Indicator",11,,,,,,,,,,,,,,,,,
D090,PPA,6625016533190,A7523,"Calibrator, Frequency",2,,,,,,,,,,,,,,,,,
D091,PPB,6130015447811,A2179,"Power Supply, ComTech",,2,2,,,,,,,,,,,,,,,
D092,PPA,6625015658920,A7420,Oscilloscope,1,,,,,,,,,,,,,,,,,
D095,PPA,5998011418146,A2179,Circuit Card Assembly,1,,,,,,,,,,,,,,,,,
D097,PPA,5996015848748,A0331,"Amplifier, Radio",20,20,10,10,,,,,,,,,,,,,,
D098,PPA,5996016616649,A0242,"Amplifier, Radio Frequency",6,3,,,,,3,,,,,,,,,,,
D0A2,PPA,6625014217497,A7596,"Plug-In Unit, Electr",1,,,,,,,,,,,,,,,,,
D0A3,PPA,6625014925646,A7596,"Plug-In Unit, Electrical-Electronic",,1,,1,,,,,,,,,,,,,,
D752,PPA,6660015066613,E1035,"Theodolite, Meteorological",3,1,,1,,,,,,,,,,,,,,
D755,PPA,1290015100540,E0180,"Transit, Aming Circle",35,25,5,5,8,7,,,,,,,,,,,,
D755,PPB,1290015100540,E0180,"Transit, Aming Circle",25,19,6,6,7,,,,,,,,,,,,,
D769,PPB,1220016473873,E0671,Digital Fire Control System Assembly,4,1,1,,,,,,,,,,,,,,,
D776,PPA,1440014583366,E0942,"Armament, Control",2,,,,,,,,,,,,,,,,,
D785,PPA,4910015991753,E7903,Test Adapter Vehicle,2,1,,1,,,,,,,,,,,,,,
D798,PPA,2815015502615,E0947,"Engine, Diesel",9,,,,,,,,,,,,,,,,,
D798,PPB,2815015502615,E0947,"Engine, Diesel",7,,,,,,,,,,,,,,,,,
D7D5,PPB,7025016473875,E0671,"Display Unit, Chief of Section",5,3,3,,,,,,,,,,,,,,,
D815,PPA,5980016296933,B1583,"Control-Display, Opt",,,,,,,,,,,,,,,,,,
D826,PPB,2815015891633,B0071,"Engine, Diesel",1,,,,,,,,,,,,,,,,,
D842,PPA,4520016313780,B0055,"Heater, Water, Liquid",1,,,,,,,,,,,,,,,,,
D930,PPB,1240015158265,E0671,"Mount, Telescope",13,,,,,,,,,,,,,,,,,
E032,PPB,5820015709746,A0097,"Vehicular, Adaptor Unit",,300,,,,25,,25,25,25,25,25,25,25,25,25,25,25
E097,PPA,5996015848748,A0331,"Amplifier, Radio",,50,,,,10,10,10,10,10,,,,,,,,
E0A4,PPA,6625014925557,A7596,"Plug-In Unit, Electronic Test Equip",,3,,,3,,,,,,,,,,,,,
E0A5,PPA,5996016429980,A0352,"Amplifier, Radio frequency",,1,,,,1,,,,,,,,,,,,
E0A6,PPA,6625014925302,A7596,"Plug-In Unit, Electric",,6,,,,,,,,3,,,3,,,,,
E70S,PPA,2815015502608,E0947,"Engine, Diesel",,20,,,,,,2,5,5,4,4,,,,,,
E766,PPB,1025992979085,E0671,"Buffer, Assembly, Special",,7,,,,,,,,,2,2,2,1,,,,
E771,PPB,3040994887463,E0671,"Accumulator, Hydraulic",,2,,,,,1,1,,,,,,,,,,
E772,PPB,5998998407932,E0671,"ELEC, COMPONENT",,8,,,,,,2,2,2,2,,,,,,,
E776,PPA,1440014583366,E0942,"Armament, Control",,4,,,,,,,,4,,,,,,,,
E7D5,PPB,7025016473875,E0671,"Display Unit, Chief of Section",,6,,,,,,4,2,,,,,,,,,
E930,PPB,1240015158265,E0671,"Mount, Telescope",,12,,,,,,2,2,2,2,2,2,,,,,
L461,PPB,1220016473873,E0671,Digital Fire Control System Assembly,,22,,,,,,2,4,4,4,4,4,,,,,
L463,PPB,5998998407932,E0671,"ELEC, COMPONENT",,15,,,,,,5,5,5,,,,,,,,
L464,PPB,7025016473875,E0671,"Display Unit, Chief of Section",,13,,,,,,6,7,,,,,,,,,
L465,PPB,5895016647511,E0671,"Enclosure Assembly, Radio",,3,,,,,,3,,,,,,,,,,
M80C,DMISA,2805015556505,C4548,"Engine, Outboard Multi Fuel",50,,,,,,,,,,,,,,,,,
R2AA,DMISA,5985015821343,A0169,Antenna,,200,,,,,,,,40,40,40,40,40,,,,
R379,PPA,6675002932930,,Clinometers,,8,,2,,2,,2,,2,,,,,,,,
R380,PPA,4933001441857,,"Fixture, Checking, Guide Bar Housing",,2,,,1,,1,,,,,,,,,,,
R397,PPA,4920011063361,,"Fixture, Aircraft Maintenance",,4,1,,1,,1,,1,,,,,,,,,
R3A7,PPA,4920001616963,,Boresight Equipment,1,1,,,1,,,,,,,,,,,,,
R479,PPA,6675002932930,,Clinometers,,1,,1,,,,,,,,,,,,,,
R480,PPA,4933001441857,,"Fixture, Checking, Guide Bar Housing",,1,,1,,,,,,,,,,,,,,
R497,PPA,4920011063361,,"Fixture, Aircraft Maintenance",,1,,1,,,,,,,,,,,,,,
V413,PPA,6625014962745,,Multiproduct Calibrator,,1,,1,,,,,,,,,,,,,,
W375,PPA,8120015271059,,"Cylinder, Compressed Gas",,4,,4,,,,,,,,,,,,,,
